1	2	1	2
1	4	2	10
1	3	2	10
2.5	2	2	10
1	3	2	1
1	3	2	3
2.5	3	1	9
2.5	3	2	9
1	2	3	6
0.583333333	2	3	10
2.5	2	2	4
2.5	4	2	9
0.583333333	3	2	6
2.5	4	1	7
1	2	2	9
1	4	2	8
6	2	2	10
0.033333333	4	2	2
2.5	2	2	10
6	2	2	4
0.033333333	2	3	2
2.5	4	1	8
6	2	2	10
1	2	2	7
2.5	4	2	10
2.5	4	2	3
1	2	1	2
2.5	2	2	2
0.583333333	3	2	8
1	4	2	3
6	4	1	10
6	2	2	10
2.5	2	2	6
1	2	4	6
6	2	2	4
2.5	2	2	3
2.5	2	2	7
6	2	2	10
6	4	1	10
6	2	3	7
2.5	3	3	8
1	3	2	6
2.5	2	2	8
2.5	4	2	10
2.5	2	1	3
6	2	2	10
6	2	1	9
2.5	2	2	10
6	4	1	6
2.5	2	3	3
0.583333333	4	3	7
2.5	3	2	9
0.583333333	4	2	7
6	3	1	8
2.5	2	1	7
1	4	1	7
2.5	3	1	7
2.5	3	1	3
1	4	1	8
2.5	3	1	10
6	3	1	2
6	3	1	10
6	3	1	8
2.5	3	1	7
2.5	4	1	7
2.5	2	1	8
2.5	1	1	8
2.5	3	1	9
0.033333333	3	1	3
2.5	4	1	8
6	4	1	10
1	4	2	7
2.5	3	1	7
6	3	2	2
2.5	3	2	3
6	4	2	3
2.5	4	2	10
2.5	3	1	2
2.5	4	2	6
2.5	4	1	10
6	4	1	10
0.033333333	4	1	5
6	4	1	7
6	4	1	8
2.5	4	1	9
